"","Dick_1","Cunt_1","Fuck_1","Ass_1","Tit_1","Cunt_2","Dick_2","Ass_2","Fuck_2","Tits_2","Ass_3","Fuck_3","Dick_3","Cunt_3","Tits_3"
"Males",2.30769230769231,4.53846153846154,5,2.23076923076923,3.23076923076923,3.76923076923077,2.23076923076923,1.53846153846154,2.15384615384615,4.84615384615385,1.92307692307692,1.69230769230769,1.92307692307692,3.76923076923077,2.38461538461538
"Females",2.61538461538462,5,4.61538461538461,1.84615384615385,3.53846153846154,4.07692307692308,2.61538461538462,1.53846153846154,2.46153846153846,4.69230769230769,1.69230769230769,1.76923076923077,2,4.53846153846154,3.38461538461538
"Total Average",2.46153846153846,4.76923076923077,4.80769230769231,2.03846153846154,3.38461538461538,3.92307692307692,2.42307692307692,1.53846153846154,2.30769230769231,4.76923076923077,1.80769230769231,1.73076923076923,1.96153846153846,4.15384615384615,2.88461538461538
